ticker,target_name,horizon,spike_percentile,embedding_variant,alignment_mode,placebo_variant,evaluation_filter,num_test_spikes,num_test_samples,precision,recall,f1,roc_auc,pr_auc
AXP,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,8,85,0.0,0.0,0.0,0.5584415584415584,0.11558554629450152
BAC,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,7,105,0.07142857142857142,0.14285714285714285,0.09523809523809523,0.5422740524781341,0.11862826770346195
BX,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,12,86,0.2,0.8333333333333334,0.3225806451612903,0.7240990990990992,0.4962874766842221
C,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,8,100,0.09090909090909091,0.125,0.10526315789473684,0.53125,0.1490381913635019
ABT,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,125,0.25,0.2222222222222222,0.23529411764705882,0.5833333333333334,0.30925520561944886
AMD,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,14,173,0.075,0.21428571428571427,0.1111111111111111,0.47349505840071876,0.14549765778322604
AMGN,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,8,77,0.0,0.0,0.0,0.38949275362318836,0.08958887658644327
AXP,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,85,0.0,0.0,0.0,0.6181434599156118,0.10525501318184247
BAC,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,105,0.1,0.2,0.13333333333333333,0.5920000000000001,0.1214266625386923
BX,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,86,0.14285714285714285,0.6666666666666666,0.23529411764705882,0.6969696969696969,0.34252758991714816
C,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,4,100,0.1111111111111111,0.25,0.15384615384615385,0.5963541666666666,0.165625
ABT,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,4,125,0.14285714285714285,0.25,0.18181818181818182,0.49793388429752067,0.11201989303946196
AMD,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,173,0.0,0.0,0.0,0.37425149700598803,0.03050516296561161
AMGN,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,77,0.0,0.0,0.0,0.14473684210526316,0.015151515151515152
AXP,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,4,85,0.0,0.0,0.0,0.5895061728395062,0.06831004140786748
BAC,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,105,0.0,0.0,0.0,0.5686274509803921,0.04532163742690058
BX,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,86,0.11764705882352941,0.6666666666666666,0.2,0.6666666666666666,0.21058108233546827
C,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,100,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.6597938144329897,0.36512059369202227
ABT,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,125,0.2,1.0,0.3333333333333333,0.9919354838709677,0.5
AMD,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,173,0.0,0.0,0.0,0.42619047619047623,0.02864588570470923
AMGN,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,0,77,,,,,
AXP,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,85,0.0,0.0,0.0,0.6178861788617886,0.05810671899822446
BAC,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,105,0.0,0.0,0.0,0.7135922330097088,0.07442348008385744
BX,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,86,0.10526315789473684,1.0,0.19047619047619047,0.8988095238095238,0.1875
C,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,100,0.25,1.0,0.4,0.98989898989899,0.5
ABT,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,15,125,0.17391304347826086,0.26666666666666666,0.21052631578947367,0.49818181818181817,0.14314859842131292
AMD,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,23,173,0.08620689655172414,0.21739130434782608,0.12345679012345678,0.49884057971014495,0.195657980841076
AMGN,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,19,77,0.23809523809523808,0.2631578947368421,0.25,0.5117967332123412,0.3263426004130768
AXP,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,85,0.3333333333333333,0.5,0.4,0.7586666666666667,0.3426356627175041
BAC,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,20,105,0.16666666666666666,0.15,0.15789473684210525,0.5570588235294118,0.2515725496565874
BX,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,15,86,0.19230769230769232,0.6666666666666666,0.29850746268656714,0.6206572769953052,0.35181686100857207
C,log_abs_return,1,80.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,100,0.14285714285714285,0.2,0.16666666666666666,0.5311111111111111,0.27561129443930193
ABT,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,125,0.17391304347826086,0.4444444444444444,0.25,0.5613026819923371,0.11752831824137627
