ticker,target_name,horizon,spike_percentile,embedding_variant,alignment_mode,placebo_variant,evaluation_filter,num_spike_samples,ts_only_mae,embedding_mae,mae_improvement_pct,underprediction_reduction
C,log_abs_return,3,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,1.5634776182932566,1.514977244034652,3.102083054540246,0.04850037425860446
ABT,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,10,1.7964011105373736,1.73958022479618,3.163040003031185,0.05682088574119346
AMD,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,12,1.586581669731857,1.5236944916763777,3.963689941413967,0.0628871780554792
AMGN,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,8,1.6890463232585187,1.6790966129088793,0.589072674480844,0.009949710349639429
AXP,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,1.7855400963896404,1.6775234032785484,6.049524921311012,0.10801669311109219
BAC,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,8,1.7967386863707893,1.7464945223779653,2.7964090924268747,0.050244163992824
BX,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,1.546478921868183,1.4513420084800757,6.151840289758339,0.0951369133881073
C,log_abs_return,3,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,1.833864733857567,1.7507553147100374,4.5319274433457,0.08310941914752974
ABT,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,4,2.1714381731391503,2.0642866601213035,4.934587332180071,0.10715151301784709
AMD,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,8,1.7242088604242807,1.66388312981982,3.4987484398854187,0.06032573060446067
AMGN,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,2.0879177473907022,2.036399126063804,2.467464122630386,0.05151862132689855
AXP,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,1.8977190322700426,1.8446163504224913,2.7982373019693076,0.05310268184755129
BAC,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,2.008031200925527,1.947546277671638,3.0121505694737523,0.0604849232538888
BX,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,2,1.7395603916227456,1.6087510599199208,7.5196775192610295,0.13080933170282472
C,log_abs_return,3,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,1,2.1476471965192094,2.151466377979815,-0.17783095225303266,-0.0038191814606056695
ABT,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,14,0.5620180193370048,0.5561907865157856,1.0368409233734934,0.005827232821219219
AMD,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,17,0.6041335454385347,0.6036127026502631,0.08621318782977128,0.000520842788271574
AMGN,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,13,0.5839499216471353,0.5808602237703192,0.5291032265405697,0.0030896978768161477
AXP,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,10,0.6462206533101934,0.6448405582848571,0.21356405405288906,0.0013800950253363363
BAC,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,9,0.7376931090287666,0.7416111234369267,-0.5311171217687628,-0.003918014408160037
BX,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,10,0.39134399083647553,0.3945112022381344,-0.8093164775289232,-0.005077925542918571
C,log_gk,1,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,9,0.4886474269940243,0.48587980928878277,0.5663833578878902,0.0027676177052415873
ABT,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,10,0.6326689371777252,0.62745188703203,0.8246098139364854,0.0052170501456950905
AMD,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,13,0.6368999701477859,0.6293887091597432,1.1793470466484335,0.0075112609880427445
AMGN,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,11,0.5972261951454987,0.5930435198633135,0.7003502720047616,0.004182675282185047
AXP,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,7,0.7790123383130497,0.7747096830461431,0.5523218382168434,0.004302655266906668
BAC,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,6,0.8629425569370781,0.8621257832843169,0.09464982879744362,0.0008167736527613378
BX,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,6,0.4191873896020832,0.4250762681250102,-1.4048319842152417,-0.009073402091693161
C,log_gk,1,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,4,0.7403898281831056,0.7413552324407324,-0.1303913453262702,-0.0009654042576268118
ABT,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,6,0.8662846179200151,0.8574980373853253,1.0142833374770959,0.008786580534689984
AMD,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,6,0.7986908933631663,0.7858087777189852,1.612903784333454,0.012882115644181106
AMGN,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,5,0.7401301966556576,0.7409066189500826,-0.10490347481204179,-0.000776422294424961
AXP,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,4,0.9149140832687737,0.9046250273876915,1.1245925786082351,0.010289055881082199
BAC,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,5,0.8830063770763807,0.8863789273366394,-0.3819395134410104,-0.0033725502602584
BX,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,3,0.5959605528885588,0.6013484706021779,-0.9040728765527268,-0.005387917713619128
C,log_gk,1,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,1,0.9241820403033101,0.9272881544870852,-0.3360933288376552,-0.003106114183775155
ABT,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,1,1.0232591473116193,1.037551485060689,-1.3967466390717993,-0.014292337749069794
AMD,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,5,0.8686390617130246,0.8524814093558828,1.8601111864895503,0.016157652357141748
AMGN,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,2,0.8572607141579454,0.8639626845608563,-0.7817890511282877,-0.006701970402910984
AXP,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,2,1.0188047690991309,1.0041229766607271,1.4410800659468814,0.014681792438403729
BAC,log_gk,1,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,2,1.1390909327769498,1.161815108418597,-1.9949395599391457,-0.022724175641647193
ABT,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,15,0.5812035140558642,0.5920784118931276,-1.8710998082881667,-0.010874897837263475
AMD,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,20,0.6130731960405776,0.6102179202486336,0.4657316304781033,0.002855275791943801
AMGN,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,9,0.6176728055449523,0.6103802593392451,1.1806487415733338,0.00729254620570716
AXP,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,8,0.863204083330072,0.8709317676082264,-0.8952325906919382,-0.007727684278154401
BAC,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,7,0.7105616199097647,0.7119027719192186,-0.18874534901338375,-0.0013411520094539497
BX,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,12,0.5326304104925836,0.5343200588050192,-0.3172271577345643,-0.0011911429152849189
C,log_gk,3,80.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,8,0.6449256551447198,0.632040966882951,1.9978563666966411,0.012884688261768917
ABT,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,9,0.7043317084518211,0.7177514848456313,-1.9053204949849512,-0.013419776393810126
AMD,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,14,0.6674724687930441,0.6623153640289486,0.7726318320545569,0.005157104764095287
AMGN,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,8,0.6448734654610025,0.6388108355451212,0.9401270544675532,0.006062629915881357
AXP,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,6,0.9457261966618753,0.956102167161343,-1.0971431833115874,-0.010375970499467554
